"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 14, 2016","38.65","39.45","39.92","38.59","8.87M","-1.50%"
"Oct 13, 2016","39.24","36.95","39.50","36.80","14.77M","4.98%"
"Oct 12, 2016","37.38","38.12","38.38","37.36","7.41M","-2.15%"
"Oct 11, 2016","38.20","39.99","39.99","38.06","10.03M","-1.77%"
"Oct 10, 2016","38.89","37.95","38.95","37.47","6.94M","3.07%"
"Oct 07, 2016","37.73","38.25","38.48","37.40","5.13M","-1.15%"
"Oct 06, 2016","38.17","37.83","38.22","37.57","5.16M","0.79%"
"Oct 05, 2016","37.87","37.82","38.12","37.31","4.71M","0.64%"
"Oct 04, 2016","37.63","38.39","38.78","37.55","9.07M","-0.19%"
"Oct 03, 2016","37.70","36.46","37.75","36.33","8.88M","2.98%"
"Sep 30, 2016","36.61","35.98","36.99","35.86","7.43M","2.21%"
"Sep 29, 2016","35.82","35.65","36.60","35.60","6.18M","-0.06%"
"Sep 28, 2016","35.84","36.10","36.86","35.77","6.29M","-0.44%"
"Sep 27, 2016","36.00","34.98","36.12","34.90","5.07M","3.06%"
"Sep 26, 2016","34.93","35.19","35.55","34.86","7.35M","-1.74%"
"Sep 23, 2016","35.55","35.30","35.67","34.96","4.60M","0.85%"
"Sep 22, 2016","35.25","34.96","36.03","34.85","7.44M","1.67%"
"Sep 21, 2016","34.67","35.00","35.15","33.90","10.41M","-1.37%"
"Sep 20, 2016","35.15","35.75","35.86","35.13","6.67M","-0.82%"
"Sep 19, 2016","35.44","35.66","36.11","35.35","5.42M","-0.14%"
"Sep 16, 2016","35.49","36.26","36.36","35.47","10.72M","-2.53%"
"Sep 15, 2016","36.41","36.31","36.63","35.85","7.81M","0.05%"
"Sep 14, 2016","36.39","37.00","37.20","36.25","8.09M","-2.62%"
"Sep 13, 2016","37.37","38.12","38.31","37.22","9.33M","-2.53%"
"Sep 12, 2016","38.34","37.22","38.38","36.62","11.96M","-0.39%"
"Sep 09, 2016","38.49","39.00","39.34","38.17","8.62M","-2.19%"
"Sep 08, 2016","39.35","38.68","39.41","38.43","7.10M","1.55%"
"Sep 07, 2016","38.75","37.50","39.52","37.42","13.77M","4.84%"
"Sep 06, 2016","36.96","36.45","36.97","36.36","5.50M","1.18%"
"Sep 02, 2016","36.53","36.00","36.70","36.00","5.43M","0.80%"
"Sep 01, 2016","36.24","36.53","36.71","35.88","6.94M","-0.17%"
"Aug 31, 2016","36.30","36.97","36.98","35.63","13.11M","-2.02%"
"Aug 30, 2016","37.05","35.45","37.35","35.35","14.51M","2.43%"
