"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2016","72.88","73.43","73.43","72.37","1.72M","-0.55%"
"Dec 29, 2016","73.28","73.53","74.19","72.93","1.27M","-0.34%"
"Dec 28, 2016","73.53","75.00","75.18","73.35","1.95M","-1.53%"
"Dec 27, 2016","74.67","74.78","75.22","74.50","1.09M","-0.16%"
"Dec 23, 2016","74.79","74.40","74.83","74.13","1.62M","0.81%"
"Dec 22, 2016","74.19","75.62","75.73","73.80","2.29M","-2.02%"
"Dec 21, 2016","75.72","75.73","76.10","75.16","1.56M","-0.43%"
"Dec 20, 2016","76.05","75.32","76.31","74.78","2.82M","2.11%"
"Dec 19, 2016","74.48","74.25","75.38","73.77","2.59M","0.08%"
"Dec 16, 2016","74.42","74.91","76.20","74.06","6.57M","-0.49%"
"Dec 15, 2016","74.79","73.82","76.80","73.82","4.75M","2.54%"
"Dec 14, 2016","72.94","72.60","74.00","72.00","3.83M","0.54%"
"Dec 13, 2016","72.55","73.38","73.98","72.14","2.78M","-0.94%"
"Dec 12, 2016","73.24","74.30","74.36","72.69","3.12M","-2.57%"
"Dec 09, 2016","75.17","75.02","76.13","74.44","5.15M","3.34%"
"Dec 08, 2016","72.74","72.46","73.08","71.50","2.88M","0.43%"
"Dec 07, 2016","72.43","70.68","73.00","70.25","4.06M","2.06%"
"Dec 06, 2016","70.97","69.41","71.04","69.01","4.38M","3.97%"
"Dec 05, 2016","68.26","69.91","69.95","68.00","3.40M","-1.46%"
"Dec 02, 2016","69.27","69.12","69.76","68.54","2.58M","1.17%"
"Dec 01, 2016","68.47","68.67","69.87","68.30","3.21M","-0.70%"
"Nov 30, 2016","68.95","68.51","69.69","67.58","4.17M","-1.10%"
"Nov 29, 2016","69.72","69.17","70.15","68.94","2.53M","0.68%"
"Nov 28, 2016","69.25","69.95","70.15","68.61","4.97M","-1.20%"
"Nov 25, 2016","70.09","69.81","70.18","69.55","1.41M","0.30%"
"Nov 23, 2016","69.88","69.35","69.98","68.83","3.76M","0.55%"
"Nov 22, 2016","69.50","69.08","70.15","69.00","4.99M","0.74%"
"Nov 21, 2016","68.99","68.22","69.29","67.76","9.00M","1.03%"
"Nov 18, 2016","68.29","68.05","68.47","67.24","4.96M","0.63%"
"Nov 17, 2016","67.86","65.62","68.02","65.51","4.91M","3.60%"
"Nov 16, 2016","65.50","65.75","66.66","64.90","4.94M","-0.85%"
"Nov 15, 2016","66.06","65.47","67.70","63.47","10.42M","4.96%"
"Nov 14, 2016","62.94","60.54","62.94","60.37","6.66M","4.46%"
"Nov 11, 2016","60.25","59.85","60.58","58.78","5.15M","0.52%"
"Nov 10, 2016","59.94","60.43","61.60","59.78","5.72M","-0.32%"
"Nov 09, 2016","60.13","58.24","60.36","57.80","5.34M","1.38%"
"Nov 08, 2016","59.31","58.52","59.45","57.84","4.08M","1.33%"
"Nov 07, 2016","58.53","57.96","58.77","57.55","4.50M","2.27%"
"Nov 04, 2016","57.23","56.01","57.69","55.75","5.02M","2.31%"
"Nov 03, 2016","55.94","56.66","57.24","55.79","3.70M","-0.36%"
"Nov 02, 2016","56.14","55.95","56.86","55.76","3.96M","0.25%"
"Nov 01, 2016","56.00","56.25","56.97","55.53","4.71M","-0.41%"
"Oct 31, 2016","56.23","55.62","56.25","54.97","5.33M","2.03%"
"Oct 28, 2016","55.11","54.59","55.45","54.38","5.09M","1.27%"
"Oct 27, 2016","54.42","54.30","55.20","53.59","4.90M","0.82%"
"Oct 26, 2016","53.98","53.11","55.34","52.21","6.12M","-1.19%"
"Oct 25, 2016","54.63","54.93","55.89","54.54","3.15M","-0.74%"
"Oct 24, 2016","55.04","55.91","56.25","54.95","2.88M","-1.01%"
"Oct 21, 2016","55.60","56.21","56.58","55.17","3.94M","-1.71%"
"Oct 20, 2016","56.57","55.29","56.81","55.11","9.57M","2.04%"
"Oct 19, 2016","55.44","53.99","55.49","53.75","7.54M","3.28%"
"Oct 18, 2016","53.68","52.54","55.01","52.44","11.30M","1.23%"
"Oct 17, 2016","53.03","53.45","54.53","52.93","6.40M","-0.32%"
"Oct 14, 2016","53.20","54.16","54.57","52.98","7.42M","-0.91%"
"Oct 13, 2016","53.69","52.05","54.03","51.34","8.07M","1.53%"
"Oct 12, 2016","52.88","53.76","54.07","52.33","5.33M","-1.20%"
"Oct 11, 2016","53.52","54.81","54.94","53.18","5.94M","-1.25%"
"Oct 10, 2016","54.20","53.06","54.50","53.06","3.99M","2.61%"
"Oct 07, 2016","52.82","53.79","54.00","52.67","2.58M","-2.15%"
"Oct 06, 2016","53.98","53.60","54.06","52.87","2.73M","0.30%"
"Oct 05, 2016","53.82","53.82","54.14","53.48","2.57M","0.17%"
"Oct 04, 2016","53.73","54.21","55.25","53.55","5.66M","0.90%"
"Oct 03, 2016","53.25","52.24","53.40","52.00","4.45M","1.49%"
"Sep 30, 2016","52.47","51.39","52.93","51.38","5.37M","2.60%"
